" ",Mac,Windows,Linux,WSL
`wails init`,:material-check-bold:,:material-check-bold:,:material-check-bold:,:material-check-bold:
`wails build`,:material-check-bold:,:material-check-bold:,:material-check-bold:,:material-check-bold:
